table,column,type,pk,fk
t_ord_allocation,all_amount_consumed,decimal,,
t_ord_allocation,all_id,int,yes,
t_ord_allocation,all_id_basket,int,,t_ord_allocation.all_id
t_ord_allocation,all_id_copied_from,int,,
t_ord_allocation,all_id_template,int,,t_ord_allocation.all_id
t_ord_allocation,all_in_percentage,bit,,
t_ord_allocation,all_is_residual,bit,,
t_ord_allocation,all_item_from_id,int,,
t_ord_allocation,all_label,nvarchar(192),,
t_ord_allocation,all_percentage,decimal,,
t_ord_allocation,all_price,decimal,,
t_ord_allocation,all_price_entry,decimal,,
t_ord_allocation,all_quantity,decimal,,
t_ord_allocation,invoice_id,int,,t_ord_invoice.invoice_id
t_ord_allocation,is_due_template,bit,,
t_ord_allocation,oitem_id,int,,t_ord_item.oitem_id
t_ord_basket,adr_id_billing,int,,
t_ord_basket,basket_comment,nvarchar,,
t_ord_basket,basket_delivery_date,datetime,,
t_ord_basket,basket_id,int,yes,
t_ord_basket,basket_label_ar,nvarchar(192),,
t_ord_basket,basket_label_de,nvarchar(192),,
t_ord_basket,basket_label_en,nvarchar(192),,
t_ord_basket,basket_label_es,nvarchar(192),,
t_ord_basket,basket_label_fr,nvarchar(192),,
t_ord_basket,basket_label_it,nvarchar(192),,
t_ord_basket,basket_label_ja,nvarchar(192),,
t_ord_basket,basket_label_pl,nvarchar(192),,
t_ord_basket,basket_label_pt,nvarchar(192),,
t_ord_basket,basket_label_zh,nvarchar(192),,
t_ord_basket,basket_open_order,bit,,
t_ord_basket,basket_track_timesheet,bit,,
t_ord_basket,bsk_code_calculated,varchar(13),,
t_ord_basket,created,datetime,,
t_ord_basket,is_renewal,bit,,
t_ord_basket,modified,datetime,,
t_ord_basket,ord_id_previous,int,,t_ord_order.ord_id
t_ord_basket,orga_id,int,,
t_ord_basket,revision,timestamp,,
t_ord_basket,status_code,varchar(128),,
t_ord_basket,submission_end_date,datetime,,
t_ord_invoice,_inv_integration_msg,nvarchar,,
t_ord_invoice,_inv_integration_status,nvarchar,,
t_ord_invoice,acc_code_sup,varchar(128),,
t_ord_invoice,created,datetime,,
t_ord_invoice,exported,bit,,
t_ord_invoice,imp_id,int,,
t_ord_invoice,impline_id,int,,
t_ord_invoice,inv_advance_amount,decimal,,
t_ord_invoice,inv_amount_to_pay,decimal,,
t_ord_invoice,inv_code_calculated,varchar(13),,
t_ord_invoice,inv_credit_reason,nvarchar(192),,
t_ord_invoice,inv_currency_exchange_rate,decimal,,
t_ord_invoice,inv_disclaimers,nvarchar,,
t_ord_invoice,inv_has_reporting,bit,,
t_ord_invoice,inv_irn_code,varchar(128),,
t_ord_invoice,inv_irn_date,datetime,,
t_ord_invoice,inv_liquidator,varchar(128),,
t_ord_invoice,inv_lock_date,datetime,,
t_ord_invoice,inv_origin_to,varchar(128),,
t_ord_invoice,inv_original_date,datetime,,
t_ord_invoice,inv_original_supply_date,datetime,,
t_ord_invoice,inv_penalty_term,nvarchar,,
t_ord_invoice,inv_reimbursement,bit,,
t_ord_invoice,inv_supply_date,datetime,,
t_ord_invoice,inv_tax_law_reference,nvarchar,,
t_ord_invoice,inv_total_taxes_amount,decimal,,
t_ord_invoice,inv_total_taxes_amount_ref,decimal,,
t_ord_invoice,invoice_account_date,datetime,,
t_ord_invoice,invoice_begin_date,datetime,,
t_ord_invoice,invoice_closing,bit,,
t_ord_invoice,invoice_code,varchar(128),,
t_ord_invoice,invoice_date,datetime,,
t_ord_invoice,invoice_discount_amount,decimal,,
t_ord_invoice,invoice_discount_percent,decimal,,
t_ord_invoice,invoice_due_date,datetime,,
t_ord_invoice,invoice_due_from,datetime,,
t_ord_invoice,invoice_due_to,datetime,,
t_ord_invoice,invoice_earlypayment_accelerated_days,decimal,,
t_ord_invoice,invoice_earlypayment_date,datetime,,
t_ord_invoice,invoice_earlypayment_discount_amount,decimal,,
t_ord_invoice,invoice_earlypayment_discount_percentage,decimal,,
t_ord_invoice,invoice_earlypayment_discounted_amount,decimal,,
t_ord_invoice,invoice_end_date,datetime,,
t_ord_invoice,invoice_id,int,yes,
t_ord_invoice,invoice_image,varchar(128),,
t_ord_invoice,invoice_label_ar,nvarchar(192),,
t_ord_invoice,invoice_label_de,nvarchar(192),,
t_ord_invoice,invoice_label_en,nvarchar(192),,
t_ord_invoice,invoice_label_es,nvarchar(192),,
t_ord_invoice,invoice_label_fr,nvarchar(192),,
t_ord_invoice,invoice_label_it,nvarchar(192),,
t_ord_invoice,invoice_label_ja,nvarchar(192),,
t_ord_invoice,invoice_label_pl,nvarchar(192),,
t_ord_invoice,invoice_label_pt,nvarchar(192),,
t_ord_invoice,invoice_label_zh,nvarchar(192),,
t_ord_invoice,invoice_linked,int,,t_ord_invoice.invoice_id
t_ord_invoice,invoice_net_amount,decimal,,
t_ord_invoice,invoice_net_total,decimal,,
t_ord_invoice,invoice_net_total_entry,decimal,,
t_ord_invoice,invoice_origin,varchar(128),,
t_ord_invoice,invoice_origin_from,varchar(128),,
t_ord_invoice,invoice_payment_date,datetime,,
t_ord_invoice,invoice_payment_term_benefit,decimal,,
t_ord_invoice,invoice_payment_term_benefit_entry,decimal,,
t_ord_invoice,invoice_processing_date,datetime,,
t_ord_invoice,invoice_received_date,datetime,,
t_ord_invoice,invoice_total,decimal,,
t_ord_invoice,invoice_total_entry,decimal,,
t_ord_invoice,modified,datetime,,
t_ord_invoice,requisitioner_id,int,,
t_ord_invoice,revision,timestamp,,
t_ord_invoice,status_code,varchar(128),,
t_ord_invoice,sup_tax_id,varchar(128),,
t_ord_invoice,trust_weaver_ref,varchar(128),,
t_ord_item,acc_code,varchar(128),,
t_ord_item,adr_id_delivery,int,,
t_ord_item,basket_id,int,,t_ord_basket.basket_id
t_ord_item,basket_id_origin,int,,t_ord_basket.basket_id
t_ord_item,comm_id,int,,
t_ord_item,created,datetime,,
t_ord_item,ditem_id,int,,
t_ord_item,iitem_id,int,,
t_ord_item,imp_id,int,,
t_ord_item,impline_id,int,,
t_ord_item,irow_id,int,,
t_ord_item,is_price_condition,bit,,
t_ord_item,is_supplier_fulfillment_from,bit,,
t_ord_item,login_name_created,varchar(128),,
t_ord_item,login_name_modified,varchar(128),,
t_ord_item,mercateo_unite_optim_done,bit,,
t_ord_item,min_quantity,decimal,,
t_ord_item,modified,datetime,,
t_ord_item,offer_id,varchar(255),,
t_ord_item,oitem_begin_date,date,,
t_ord_item,oitem_code,varchar(128),,
t_ord_item,oitem_comment,nvarchar,,
t_ord_item,oitem_comment_in_bdl,bit,,
t_ord_item,oitem_compl_label,nvarchar(192),,
t_ord_item,oitem_delivered_in_amount,bit,,
t_ord_item,oitem_delivery_date,datetime,,
t_ord_item,oitem_delivery_free,bit,,
t_ord_item,oitem_delivery_real_date,datetime,,
t_ord_item,oitem_discount_percent,decimal,,
t_ord_item,oitem_discounted_price_entry,decimal,,
t_ord_item,oitem_end_date,date,,
t_ord_item,oitem_ext_code,varchar(128),,
t_ord_item,oitem_id,int,yes,
t_ord_item,oitem_id_from,int,,t_ord_item.oitem_id
t_ord_item,oitem_id_order_origin,int,,t_ord_item.oitem_id
t_ord_item,oitem_id_origin,int,,t_ord_item.oitem_id
t_ord_item,oitem_id_parent,int,,t_ord_item.oitem_id
t_ord_item,oitem_incoterm_place,nvarchar(192),,
t_ord_item,oitem_label,nvarchar(192),,
t_ord_item,oitem_net_price_entry,decimal,,
t_ord_item,oitem_order_free,bit,,
t_ord_item,oitem_ordered_in_amount,bit,,
t_ord_item,oitem_origin_info,varchar(128),,
t_ord_item,oitem_partial_delivery_qty,int,,
t_ord_item,oitem_price,decimal,,
t_ord_item,oitem_price_basis_quantity,decimal,,
t_ord_item,oitem_price_entry,decimal,,
t_ord_item,oitem_price_updated,datetime,,
t_ord_item,oitem_psp_tm,bit,,
t_ord_item,oitem_quantity,decimal,,
t_ord_item,oitem_seq,int,,
t_ord_item,oitem_sup_auxiliary_ref,varchar(128),,
t_ord_item,oitem_sup_ref,varchar(128),,
t_ord_item,oitem_tax_amount_line,decimal,,
t_ord_item,oitem_total_amount,decimal,,
t_ord_item,ord_delivered,bit,,
t_ord_item,ord_id,int,,t_ord_order.ord_id
t_ord_item,ord_invoiced,bit,,
t_ord_item,revision,timestamp,,
t_ord_item,sold_by_quantity,decimal,,
t_ord_item,status_code,varchar(128),,
t_ord_item,tva_value,decimal,,
t_ord_order,basket_id,int,,t_ord_basket.basket_id
t_ord_order,created,datetime,,
t_ord_order,imp_id,int,,
t_ord_order,impline_id,int,,
t_ord_order,last_status_code,varchar(128),,
t_ord_order,modified,datetime,,
t_ord_order,ord_advance_fee,decimal,,
t_ord_order,ord_amendment_num,int,,
t_ord_order,ord_code_calculated,varchar(23),,
t_ord_order,ord_comment_ar,nvarchar,,
t_ord_order,ord_comment_de,nvarchar,,
t_ord_order,ord_comment_en,nvarchar,,
t_ord_order,ord_comment_es,nvarchar,,
t_ord_order,ord_comment_fr,nvarchar,,
t_ord_order,ord_comment_it,nvarchar,,
t_ord_order,ord_comment_ja,nvarchar,,
t_ord_order,ord_comment_pl,nvarchar,,
t_ord_order,ord_comment_pt,nvarchar,,
t_ord_order,ord_comment_zh,nvarchar,,
t_ord_order,ord_ext_code,varchar(128),,
t_ord_order,ord_free_budget,bit,,
t_ord_order,ord_id,int,yes,
t_ord_order,ord_id_origin,int,,t_ord_order.ord_id
t_ord_order,ord_inco_place,nvarchar(192),,
t_ord_order,ord_label_ar,nvarchar(192),,
t_ord_order,ord_label_de,nvarchar(192),,
t_ord_order,ord_label_en,nvarchar(192),,
t_ord_order,ord_label_es,nvarchar(192),,
t_ord_order,ord_label_fr,nvarchar(192),,
t_ord_order,ord_label_it,nvarchar(192),,
t_ord_order,ord_label_ja,nvarchar(192),,
t_ord_order,ord_label_pl,nvarchar(192),,
t_ord_order,ord_label_pt,nvarchar(192),,
t_ord_order,ord_label_zh,nvarchar(192),,
t_ord_order,ord_order_date,datetime,,
t_ord_order,ord_payment_order,nvarchar(192),,
t_ord_order,ord_ref,varchar(128),,
t_ord_order,ord_track_timesheet,bit,,
t_ord_order,revision,timestamp,,
t_ord_order,status_code,varchar(128),,
